Year,Period,Trade Flow,Reporter,Reporter ISO,Partner,Customs,Mode of Transport,Commodity Code,Commodity,Trade_value,CIF Trade Value (US$),FOB Trade Value (US$)
2018,2018,M,Lithuania,LTU,World,All CPCs,All MOTs,TOTAL,All Commodities,36501414404 ,36501414405,
2015,2015,M,New Zealand,NZL,World,All CPCs,All MOTs,TOTAL,All Commodities,36528318327 ,36528318328,
2020,2020,M,New Zealand,NZL,World,All CPCs,All MOTs,TOTAL,All Commodities,37251337005 ,37251337006,35306129562
2015,2015,M,Ukraine,UKR,World,All CPCs,All MOTs,TOTAL,All Commodities,37516153220 ,37516153220,
2019,2019,M,Bulgaria,BGR,World,All CPCs,All MOTs,TOTAL,All Commodities,37765114126 ,37765114126,
2018,2018,M,Bulgaria,BGR,World,All CPCs,All MOTs,TOTAL,All Commodities,37927842259 ,37927842259,
2015,2015,M,Peru,PER,World,All CPCs,All MOTs,TOTAL,All Commodities,38026358883 ,38026358884,35959588662
2015,2015,M,Morocco,MAR,World,All CPCs,All MOTs,TOTAL,All Commodities,38145589424 ,38145589424,
2019,2019,M,Slovenia,SVN,World,All CPCs,All MOTs,TOTAL,All Commodities,38162054184 ,38162054185,
2019,2019,M,Kazakhstan,KAZ,World,All CPCs,All MOTs,TOTAL,All Commodities,38356657543 ,38356657544,
2018,2018,M,Belarus,BLR,World,All CPCs,All MOTs,TOTAL,All Commodities,38408911900 ,38408911900,
2016,2016,M,Ukraine,UKR,World,All CPCs,All MOTs,TOTAL,All Commodities,39249626345 ,39249626345,
2019,2019,M,Belarus,BLR,World,All CPCs,All MOTs,TOTAL,All Commodities,39476679200 ,39476679200,
2017,2017,M,Peru,PER,World,All CPCs,All MOTs,TOTAL,All Commodities,39763913902 ,39763913902,37792682851
2015,2015,M,Iran,IRN,World,All CPCs,All MOTs,TOTAL,All Commodities,40037159161 ,40037159161,
2017,2017,M,New Zealand,NZL,World,All CPCs,All MOTs,TOTAL,All Commodities,40128439163 ,40128439163,38306078735
2018,2018,M,Iran,IRN,World,All CPCs,All MOTs,TOTAL,All Commodities,41236168450 ,41236168450,
